date,option,stock,Lns,r,sigma,datedif,sigma1
2006/5/22,3.343,6.8,1.916922612,,,0.997260274,
2006/5/23,4.193,7,1.945910149,0.028987537,,0.994520548,
2006/5/24,5.068,6.3,1.840549633,-0.105360516,,0.991780822,
2006/5/25,5.123,6.34,1.846878768,0.006329135,,0.989041096,
2006/5/26,5.065,6.4,1.85629799,0.009419222,,0.98630137,
2006/5/29,5.629,6.7,1.902107526,0.045809536,,0.978082192,
2006/5/30,5.276,6.6,1.887069649,-0.015037877,,0.975342466,
2006/5/31,4.914,6.52,1.874874376,-0.012195273,,0.97260274,
2006/6/1,5.011,6.75,1.909542505,0.034668129,,0.969863014,
2006/6/2,4.218,6.69,1.900613874,-0.008928631,,0.967123288,
2006/6/5,4.678,7.05,1.953027617,0.052413743,,0.95890411,
2006/6/6,4.503,6.7,1.902107526,-0.05092009,,0.956164384,
2006/6/7,4.021,6.06,1.8017098,-0.100397726,,0.953424658,
2006/6/8,4.159,6.2,1.824549292,0.022839492,,0.950684932,
2006/6/9,3.835,5.71,1.742219024,-0.082330268,,0.947945205,
2006/6/12,3.851,5.59,1.720979287,-0.021239737,,0.939726027,
2006/6/13,3.95,5.67,1.735189118,0.014209831,,0.936986301,
2006/6/14,3.6,5.42,1.690095815,-0.045093302,,0.934246575,
2006/6/15,3.303,5.38,1.682688374,-0.007407441,,0.931506849,
2006/6/16,3.411,5.76,1.750937475,0.068249101,,0.928767123,
2006/6/19,3.403,5.8,1.757857918,0.006920443,,0.920547945,
2006/6/20,3.431,5.83,1.763017,0.005159083,,0.917808219,
2006/6/21,3.394,5.81,1.759580571,-0.003436429,,0.915068493,
2006/6/22,3.264,5.82,1.761300262,0.001719691,,0.912328767,
2006/6/23,3.467,5.96,1.785070481,0.023770219,,0.909589041,
2006/6/26,3.772,6.25,1.832581464,0.047510983,,0.901369863,
2006/6/27,3.754,6.2,1.824549292,-0.008032172,,0.898630137,
2006/6/28,3.726,6.21,1.826160896,0.001611604,,0.895890411,
2006/6/29,3.912,6.45,1.864080131,0.037919235,,0.893150685,
2006/6/30,3.814,6.31,1.842135677,-0.021944454,,0.890410959,
2006/7/3,3.947,6.52,1.874874376,0.032738699,,0.882191781,
2006/7/4,3.751,6.36,1.850028377,-0.024845999,,0.879452055,0.644079666
2006/7/5,3.449,6.16,1.818076778,-0.0319516,,0.876712329,0.641151244
2006/7/6,3.634,6.32,1.843719208,0.025642431,,0.873972603,0.576846882
2006/7/7,3.411,6.18,1.821318271,-0.022400937,,0.871232877,0.581226417
2006/7/10,3.383,6.2,1.824549292,0.003231021,,0.863013699,0.583785203
2006/7/11,3.377,6.19,1.822935087,-0.001614205,,0.860273973,0.56817496
2006/7/12,3.454,6.29,1.838961071,0.016025984,,0.857534247,0.567046504
2006/7/13,3.181,5.68,1.736951233,-0.102009838,,0.854794521,0.568471217
2006/7/14,3.274,5.77,1.752672081,0.015720848,,0.852054795,0.623853417
2006/7/17,3.319,5.79,1.756132292,0.003460211,,0.843835616,0.626609455
2006/7/18,3.306,5.72,1.743968805,-0.012163486,,0.84109589,0.605190872
2006/7/19,3.312,5.66,1.733423892,-0.010544913,,0.838356164,0.591917275
2006/7/20,3.283,5.64,1.729884066,-0.003539827,,0.835616438,0.525398229
2006/7/21,3.397,5.82,1.761300262,0.031416196,,0.832876712,0.520407653
2006/7/24,3.389,5.8,1.757857918,-0.003442344,,0.824657534,0.47622096
2006/7/25,3.49,5.96,1.785070481,0.027212564,,0.821917808,0.472235752
2006/7/26,3.451,5.92,1.778336449,-0.006734032,,0.819178082,0.476460501
2006/7/27,3.38,5.75,1.749199855,-0.029136594,,0.816438356,0.457927145
2006/7/28,3.28,5.67,1.735189118,-0.014010737,,0.81369863,0.465775203
2006/7/31,3.12,5.47,1.699278616,-0.035910501,,0.805479452,0.427044453
2006/8/1,3.148,5.48,1.701105101,0.001826485,,0.802739726,0.437551595
2006/8/2,3.044,5.42,1.690095815,-0.011009286,,0.8,0.437216282
2006/8/3,2.72,5.28,1.663926098,-0.026169718,,0.797260274,0.437913113
2006/8/4,2.659,5.13,1.635105659,-0.028820439,,0.794520548,0.442698667
2006/8/7,2.749,5.07,1.623340818,-0.011764842,,0.78630137,0.441178126
2006/8/8,2.806,5.25,1.658228077,0.034887259,,0.783561644,0.414739874
2006/8/9,2.676,5.2,1.648658626,-0.009569451,,0.780821918,0.430730052
2006/8/10,2.746,5.32,1.671473303,0.022814678,,0.778082192,0.430366176
2006/8/11,2.978,5.57,1.717395054,0.045921751,,0.775342466,0.419982641
2006/8/14,2.981,5.49,1.702928256,-0.014466798,,0.767123288,0.441754059
2006/8/15,3.006,5.49,1.702928256,0,0.548452392,0.764383562,0.429548185
2006/8/16,2.874,5.53,1.710187816,0.00725956,0.54456938,0.761643836,0.426247494
2006/8/17,2.708,5.37,1.680827909,-0.029359907,0.505139909,0.75890411,0.420247002
2006/8/18,2.731,5.26,1.660131027,-0.020696882,0.507689735,0.756164384,0.417458608
2006/8/21,2.793,5.24,1.656321498,-0.003809528,0.50831111,0.747945205,0.416930962
2006/8/22,2.869,5.33,1.673351238,0.01702974,0.498580211,0.745205479,0.416227751
2006/8/23,2.934,5.44,1.693779061,0.020427823,0.499820039,0.742465753,0.420862046
2006/8/24,2.943,5.46,1.69744879,0.003669729,0.501749964,0.739726027,0.422793774
2006/8/25,2.969,5.55,1.713797928,0.016349138,0.496172176,0.736986301,0.3175199
2006/8/28,3.195,5.83,1.763017,0.049219073,0.497603618,0.728767123,0.317794293
2006/8/29,3.038,5.69,1.738710248,-0.024306752,0.496216053,0.726027397,0.347372872
2006/8/30,3.022,5.68,1.736951233,-0.001759015,0.488722054,0.723287671,0.352443074
2006/8/31,2.916,5.69,1.738710248,0.001759015,0.447261827,0.720547945,0.351219828
2006/9/1,2.872,5.54,1.711994501,-0.026715747,0.444699117,0.717808219,0.351087485
2006/9/4,3.421,5.75,1.749199855,0.037205354,0.417048508,0.709589041,0.347057551
2006/9/5,3.453,5.8,1.757857918,0.008658063,0.421508854,0.706849315,0.363395577
2006/9/6,3.485,5.88,1.771556762,0.013698844,0.420928402,0.704109589,0.355744809
2006/9/7,3.205,5.75,1.749199855,-0.022356907,0.411569673,0.701369863,0.35760044
2006/9/8,3.177,5.7,1.740466175,-0.00873368,0.413904474,0.698630137,0.353691183
2006/9/11,3.348,5.68,1.736951233,-0.003514942,0.39150718,0.690410959,0.352320647
2006/9/12,3.289,5.69,1.738710248,0.001759015,0.391297703,0.687671233,0.336958647
2006/9/13,3.166,5.6,1.722766598,-0.01594365,0.391164359,0.684931507,0.336957785
2006/9/14,3.19,5.46,1.69744879,-0.025317808,0.392336789,0.682191781,0.338669433
2006/9/15,3.217,5.58,1.719188776,0.021739987,0.395346484,0.679452055,0.338128741
2006/9/18,3.391,5.64,1.729884066,0.010695289,0.394856554,0.671232877,0.331483735
2006/9/19,3.3,5.69,1.738710248,0.008826183,0.383309697,0.668493151,0.329465562
2006/9/20,3.214,5.64,1.729884066,-0.008826183,0.383655785,0.665753425,0.317385503
2006/9/21,3.181,5.58,1.719188776,-0.010695289,0.383883123,0.663013699,0.317162614
2006/9/22,2.992,5.5,1.704748092,-0.014440684,0.375886575,0.660273973,0.31383973
2006/9/25,2.949,5.45,1.695615609,-0.009132484,0.374619573,0.652054795,0.289581889
2006/9/26,2.91,5.4,1.686398954,-0.009216655,0.368106307,0.649315068,0.287887087
2006/9/27,2.942,5.51,1.706564623,0.02016567,0.365691154,0.646575342,0.28896358
2006/9/28,2.999,5.62,1.726331664,0.019767041,0.363633048,0.643835616,0.293940355
2006/9/29,3.1,5.68,1.736951233,0.010619569,0.362038868,0.64109589,0.286499789
2006/10/9,3.217,5.92,1.778336449,0.041385216,0.36049989,0.61369863,0.280242591
2006/10/10,3.038,5.82,1.761300262,-0.017036187,0.3702722,0.610958904,0.299541902
2006/10/11,3.06,5.87,1.769854634,0.008554372,0.371673411,0.608219178,0.302711864
2006/10/12,3.079,5.74,1.74745921,-0.022395424,0.370595982,0.605479452,0.298999777
2006/10/13,3.05,5.71,1.742219024,-0.005240187,0.313104763,0.602739726,0.306890792
2006/10/16,2.969,5.61,1.72455072,-0.017668304,0.311698455,0.594520548,0.304491088
2006/10/17,2.942,5.57,1.717395054,-0.007155666,0.313524325,0.591780822,0.275050659
2006/10/18,3.047,5.69,1.738710248,0.021315194,0.312937582,0.589041096,0.267599263
2006/10/19,3.006,5.64,1.729884066,-0.008826183,0.315194724,0.58630137,0.274480681
2006/10/20,2.9,5.58,1.719188776,-0.010695289,0.315612201,0.583561644,0.275532493
2006/10/23,2.863,5.45,1.695615609,-0.023573168,0.309842676,0.575342466,0.266702814
2006/10/24,2.969,5.56,1.715598108,0.0199825,0.313109906,0.57260274,0.252487955
2006/10/25,2.894,5.55,1.713797928,-0.001800181,0.31082058,0.569863014,0.25813622
2006/10/26,3.001,5.66,1.733423892,0.019625964,0.310620485,0.567123288,0.254451532
2006/10/27,3.006,5.66,1.733423892,0,0.308044031,0.564383562,0.254266816
2006/10/30,3.247,5.87,1.769854634,0.036430742,0.306793589,0.556164384,0.253168994
2006/10/31,3.182,5.84,1.764730797,-0.005123837,0.306497942,0.553424658,0.27264962
2006/11/1,3.083,5.8,1.757857918,-0.006872879,0.306748825,0.550684932,0.273187193
2006/11/2,3.44,5.95,1.78339122,0.025533302,0.306207019,0.547945205,0.269866101
2006/11/3,3.302,5.98,1.788420568,0.005029348,0.304935686,0.545205479,0.266972141
2006/11/6,3.392,5.91,1.776645831,-0.011774737,0.298578147,0.536986301,0.261508978
2006/11/7,3.356,5.8,1.757857918,-0.018787914,0.298580046,0.534246575,0.263203384
2006/11/8,3.358,5.75,1.749199855,-0.008658063,0.294276386,0.531506849,0.268257406
2006/11/9,3.457,5.84,1.764730797,0.015530942,0.294142788,0.528767123,0.268210358
2006/11/10,3.275,5.7,1.740466175,-0.024264622,0.292398508,0.526027397,0.2692541
2006/11/13,3.188,5.62,1.726331664,-0.014134511,0.282773864,0.517808219,0.275231824
2006/11/14,3.225,5.65,1.731655545,0.005323881,0.282704817,0.515068493,0.277078019
2006/11/15,3.349,5.87,1.769854634,0.038199089,0.282872561,0.512328767,0.275725992
2006/11/16,3.195,5.72,1.743968805,-0.025885828,0.292336172,0.509589041,0.289694599
2006/11/17,3.296,5.8,1.757857918,0.013889112,0.290971275,0.506849315,0.295199758
2006/11/20,3.386,5.97,1.786746927,0.02888901,0.288706686,0.498630137,0.296226854
2006/11/21,3.349,5.98,1.788420568,0.001673641,0.293486712,0.495890411,0.284293429
2006/11/22,3.49,6.14,1.814824742,0.026404174,0.291953642,0.493150685,0.279903619
2006/11/23,3.447,6.08,1.805004696,-0.009820046,0.293704602,0.490410959,0.288088379
2006/11/24,3.455,6.31,1.842135677,0.037130981,0.294618133,0.487671233,0.281798086
2006/11/27,3.439,6.39,1.854734268,0.012598592,0.301527256,0.479452055,0.297390318
2006/11/28,3.328,6.28,1.83736998,-0.017364288,0.287055309,0.476712329,0.29215795
2006/11/29,3.404,6.27,1.835776355,-0.001593626,0.284877937,0.473972603,0.296715003
2006/11/30,3.505,6.48,1.86872051,0.032944156,0.284870222,0.471232877,0.29283326
2006/12/1,3.553,6.51,1.873339456,0.004618946,0.291554773,0.468493151,0.301965204
2006/12/4,3.711,6.8,1.916922612,0.043583156,0.285702581,0.460273973,0.298734076
2006/12/5,3.951,7.08,1.957273908,0.040351296,0.289045086,0.457534247,0.305399079
2006/12/6,3.792,6.84,1.922787732,-0.034486176,0.298302533,0.454794521,0.317151758
2006/12/7,3.723,6.69,1.900613874,-0.022173857,0.306785509,0.452054795,0.337641532
2006/12/8,3.513,6.31,1.842135677,-0.058478198,0.306726343,0.449315068,0.345031808
2006/12/11,3.857,6.75,1.909542505,0.067406828,0.329080599,0.44109589,0.388210007
2006/12/12,3.796,6.7,1.902107526,-0.007434978,0.353726739,0.438356164,0.417596705
2006/12/13,3.97,6.79,1.915450942,0.013343415,0.35431241,0.435616438,0.418078899
2006/12/14,4.187,7.02,1.948763218,0.033312276,0.352898614,0.432876712,0.417428153
2006/12/15,4.212,7.08,1.957273908,0.00851069,0.353096093,0.430136986,0.420996879
2006/12/18,4.411,7.25,1.981001469,0.023727561,0.35143662,0.421917808,0.42107623
2006/12/19,4.291,7.18,1.971299383,-0.009702086,0.353379543,0.419178082,0.420911795
2006/12/20,5.013,7.8,2.054123734,0.082824351,0.354315538,0.416438356,0.417233294
2006/12/21,5.004,7.77,2.050270164,-0.003853569,0.386348474,0.41369863,0.464453686
2006/12/22,5.093,7.8,2.054123734,0.003853569,0.385445307,0.410958904,0.465788117
2006/12/25,5.233,7.94,2.071913275,0.017789542,0.383358128,0.402739726,0.455932348
2006/12/26,5.264,7.99,2.07819076,0.006277485,0.382875015,0.4,0.450772245
2006/12/27,5.301,7.9,2.066862759,-0.011328,0.381598906,0.397260274,0.450675182
2006/12/28,5.57,8.04,2.084429083,0.017566324,0.382208678,0.394520548,0.448286478
2006/12/29,6.272,8.82,2.17702187,0.092592787,0.381916525,0.391780822,0.436671803
2007/1/4,6.285,9.13,2.211565695,0.034543825,0.418737309,0.375342466,0.491715032
2007/1/5,6.246,9.19,2.218115936,0.006550242,0.416727007,0.37260274,0.49333619
2007/1/8,6.52,9.58,2.259677592,0.041561656,0.413850894,0.364383562,0.492534466
2007/1/9,6.782,9.89,2.291524146,0.031846554,0.419292587,0.361643836,0.49728946
2007/1/10,6.952,10.32,2.33408376,0.042559614,0.417274718,0.35890411,0.494257423
2007/1/11,6.6,10,2.302585093,-0.031498667,0.421466276,0.356164384,0.496321291
2007/1/12,6.51,10.05,2.307572635,0.004987542,0.425948923,0.353424658,0.513861561
2007/1/15,7.773,11.06,2.403334996,0.095762362,0.424713374,0.345205479,0.506328464
2007/1/16,8.434,12,2.48490665,0.081571654,0.457184924,0.342465753,0.550245123
2007/1/17,7.482,11.16,2.412335957,-0.072570693,0.476200221,0.339726027,0.576167182
2007/1/18,7.828,11.38,2.431857429,0.019521472,0.503337715,0.336986301,0.630641068
2007/1/19,8.124,11.49,2.441477092,0.009619663,0.498541703,0.334246575,0.626357266
2007/1/22,9.031,12.3,2.509599262,0.068122171,0.498324086,0.326027397,0.623077803
2007/1/23,8.88,11.99,2.484072969,-0.025526293,0.509689273,0.323287671,0.621716393
2007/1/24,9.071,12.2,2.501435952,0.017362983,0.515270663,0.320547945,0.62358381
2007/1/25,8.646,11.66,2.456164181,-0.045271771,0.514734737,0.317808219,0.582045531
2007/1/26,8.635,11.57,2.448415541,-0.00774864,0.525131065,0.315068493,0.595868202
2007/1/29,9.249,12.19,2.500615943,0.052200402,0.525487885,0.306849315,0.595976871
2007/1/30,8.765,11.75,2.463853241,-0.036762703,0.530311659,0.304109589,0.603190637
2007/1/31,8.027,10.85,2.38416508,-0.079688161,0.538460185,0.301369863,0.621557194
2007/2/1,8.016,10.61,2.361796953,-0.022368127,0.567844,0.298630137,0.677281791
2007/2/2,7.776,10.58,2.358965426,-0.002831526,0.569848701,0.295890411,0.684205777
2007/2/5,7.55,10.23,2.32532458,-0.033640846,0.567526013,0.287671233,0.68267174
2007/2/6,7.917,10.62,2.362739016,0.037414436,0.572951531,0.284931507,0.663835865
2007/2/7,8.25,11.05,2.402430428,0.039691412,0.575495468,0.282191781,0.667334104
2007/2/8,8.56,11.56,2.447550863,0.045120435,0.574255509,0.279452055,0.671940771
2007/2/9,8.388,11.33,2.427454075,-0.020096788,0.575890298,0.276712329,0.678220619
2007/2/12,9.09,12.11,2.494031558,0.066577483,0.579269558,0.268493151,0.684103304
2007/2/13,9.144,12.17,2.498973907,0.004942349,0.587162961,0.265753425,0.697352861
2007/2/14,10.669,13.39,2.59450816,0.095534253,0.582355315,0.263013699,0.697754513
2007/2/15,11.18,14.48,2.672768387,0.078260227,0.605152759,0.260273973,0.700453908
2007/2/16,11.049,14.13,2.648300197,-0.02446819,0.617818896,0.257534247,0.721001579
2007/2/26,11.742,14.84,2.697326238,0.049026041,0.622194897,0.230136986,0.729152076
2007/2/27,9.892,13.36,2.592265168,-0.10506107,0.625559151,0.22739726,0.731672589
2007/2/28,10.863,13.87,2.629728234,0.037463066,0.667601544,0.224657534,0.80155563
2007/3/1,10.084,13,2.564949357,-0.064778877,0.66764964,0.221917808,0.80002453
2007/3/2,10.397,13.22,2.581730834,0.016781477,0.685297594,0.219178082,0.818916672
2007/3/5,10.369,13.13,2.574899688,-0.006831146,0.682819168,0.210958904,0.819140443
2007/3/6,10.759,13.47,2.60046499,0.025565302,0.683327522,0.208219178,0.781149889
2007/3/7,11.36,14.19,2.652537491,0.052072501,0.682592943,0.205479452,0.752649014
2007/3/8,11.549,14.39,2.666533521,0.01399603,0.686959966,0.202739726,0.730900845
2007/3/9,11.268,14,2.63905733,-0.027476191,0.684189391,0.2,0.730365773
2007/3/12,11.095,13.81,2.625392967,-0.013664362,0.686363245,0.191780822,0.736891692
2007/3/13,11.272,13.97,2.636912173,0.011519206,0.68202821,0.189041096,0.71708622
2007/3/14,10.596,13.44,2.598235335,-0.038676838,0.678597418,0.18630137,0.712325544
2007/3/15,10.746,13.56,2.607124283,0.008888947,0.671438119,0.183561644,0.721591065
2007/3/16,10.208,13.16,2.577181926,-0.029942357,0.662300212,0.180821918,0.708061544
2007/3/19,10.479,13.4,2.595254707,0.018072781,0.666382993,0.17260274,0.713931852
2007/3/20,10.595,13.58,2.608598122,0.013343415,0.666508385,0.169863014,0.701816058
2007/3/21,10.696,13.82,2.626116818,0.017518696,0.665049011,0.167123288,0.692791185
2007/3/22,10.531,13.73,2.61958322,-0.006533599,0.665154239,0.164383562,0.649299127
2007/3/23,10.274,13.61,2.610804817,-0.008778403,0.665572338,0.161643836,0.644839539
2007/3/26,10.589,13.88,2.630448955,0.019644138,0.66546191,0.153424658,0.64589361
2007/3/27,10.896,14.39,2.666533521,0.036084566,0.649665088,0.150684932,0.635057446
2007/3/28,10.929,14.56,2.678278043,0.011744522,0.651182303,0.147945205,0.634611652
2007/3/29,11.127,14.83,2.696652156,0.018374113,0.651059282,0.145205479,0.6289292
2007/3/30,11.597,15.59,2.746629683,0.049977527,0.651086844,0.142465753,0.621055629
2007/4/2,12.241,16.14,2.781300663,0.03467098,0.655728605,0.134246575,0.625972823
2007/4/3,12.168,16.07,2.77695418,-0.004346483,0.655769996,0.131506849,0.609227359
2007/4/4,12.118,16.1,2.778819272,0.001865092,0.656453288,0.128767123,0.610339111
2007/4/5,12.312,16.32,2.79239135,0.013572078,0.635987314,0.126027397,0.557740648
2007/4/6,12.724,16.99,2.832624936,0.040233586,0.634111197,0.123287671,0.518453326
2007/4/9,14.134,18,2.890371758,0.057746822,0.636958525,0.115068493,0.521258083
2007/4/10,13.851,17.77,2.877511642,-0.012860116,0.640938274,0.112328767,0.527523972
2007/4/11,14.566,18.22,2.902519892,0.02500825,0.64111843,0.109589041,0.423724258
2007/4/12,14.571,18.01,2.890927159,-0.011592733,0.638466906,0.106849315,0.418534467
2007/4/13,14.293,17.51,2.862772146,-0.028155013,0.634565816,0.104109589,0.366310631
2007/4/16,14.614,17.78,2.87807423,0.015302084,0.638961462,0.095890411,0.381505074
2007/4/17,15.559,18.78,2.932792474,0.054718244,0.614858729,0.093150685,0.378943108
2007/4/18,16.149,19.44,2.967332799,0.034540325,0.604204908,0.090410959,0.396713277
2007/4/19,14.54,18.05,2.893145685,-0.074187114,0.584472725,0.087671233,0.385043884
2007/4/20,15.973,19.39,2.964757469,0.071611784,0.606999096,0.084931507,0.451057618
2007/4/23,18.386,21.33,3.060114532,0.095357063,0.620098144,0.076712329,0.473123055
2007/4/24,17.964,21.84,3.083743151,0.023628618,0.632756998,0.073972603,0.522482721
2007/4/26,19.048,22.95,3.133317937,0.049574786,0.629475296,0.068493151,0.523016693
2007/4/27,21.431,25.25,3.228826156,0.095508219,0.63420753,0.065753425,0.508067347
2007/4/30,23.442,27.78,3.324316337,0.095490182,0.646007915,0.057534247,0.551139662
2007/5/8,23.822,28.92,3.364533397,0.04021706,0.664991114,0.035616438,0.56898489
2007/5/9,22.338,27.38,3.30981282,-0.054720577,0.662701459,0.032876712,0.570188972
2007/5/10,21.836,26.28,3.268808194,-0.041004626,0.669172366,0.030136986,0.611829929
2007/5/11,22.091,26.49,3.276767303,0.00795911,0.651654284,0.02739726,0.637420546
2007/5/14,21.988,26.44,3.274878015,-0.001889288,0.647508205,0.019178082,0.633598115
