date,option,stock,Lns,r,sigma
2006/5/22,3.343,6.8,1.916922612,,
2006/5/23,4.193,7,1.945910149,0.028987537,
2006/5/24,5.068,6.3,1.840549633,-0.105360516,
2006/5/25,5.123,6.34,1.846878768,0.006329135,
2006/5/26,5.065,6.4,1.85629799,0.009419222,
2006/5/29,5.629,6.7,1.902107526,0.045809536,
2006/5/30,5.276,6.6,1.887069649,-0.015037877,
2006/5/31,4.914,6.52,1.874874376,-0.012195273,
2006/6/1,5.011,6.75,1.909542505,0.034668129,
2006/6/2,4.218,6.69,1.900613874,-0.008928631,
2006/6/5,4.678,7.05,1.953027617,0.052413743,
2006/6/6,4.503,6.7,1.902107526,-0.05092009,
2006/6/7,4.021,6.06,1.8017098,-0.100397726,
2006/6/8,4.159,6.2,1.824549292,0.022839492,
2006/6/9,3.835,5.71,1.742219024,-0.082330268,
2006/6/12,3.851,5.59,1.720979287,-0.021239737,
2006/6/13,3.95,5.67,1.735189118,0.014209831,
2006/6/14,3.6,5.42,1.690095815,-0.045093302,
2006/6/15,3.303,5.38,1.682688374,-0.007407441,
2006/6/16,3.411,5.76,1.750937475,0.068249101,
2006/6/19,3.403,5.8,1.757857918,0.006920443,
2006/6/20,3.431,5.83,1.763017,0.005159083,
2006/6/21,3.394,5.81,1.759580571,-0.003436429,
2006/6/22,3.264,5.82,1.761300262,0.001719691,
2006/6/23,3.467,5.96,1.785070481,0.023770219,
2006/6/26,3.772,6.25,1.832581464,0.047510983,
2006/6/27,3.754,6.2,1.824549292,-0.008032172,
2006/6/28,3.726,6.21,1.826160896,0.001611604,
2006/6/29,3.912,6.45,1.864080131,0.037919235,
2006/6/30,3.814,6.31,1.842135677,-0.021944454,
2006/7/3,3.947,6.52,1.874874376,0.032738699,
2006/7/4,3.751,6.36,1.850028377,-0.024845999,
2006/7/5,3.449,6.16,1.818076778,-0.0319516,
2006/7/6,3.634,6.32,1.843719208,0.025642431,
2006/7/7,3.411,6.18,1.821318271,-0.022400937,
2006/7/10,3.383,6.2,1.824549292,0.003231021,
2006/7/11,3.377,6.19,1.822935087,-0.001614205,
2006/7/12,3.454,6.29,1.838961071,0.016025984,
2006/7/13,3.181,5.68,1.736951233,-0.102009838,
2006/7/14,3.274,5.77,1.752672081,0.015720848,
2006/7/17,3.319,5.79,1.756132292,0.003460211,
2006/7/18,3.306,5.72,1.743968805,-0.012163486,
2006/7/19,3.312,5.66,1.733423892,-0.010544913,
2006/7/20,3.283,5.64,1.729884066,-0.003539827,
2006/7/21,3.397,5.82,1.761300262,0.031416196,
2006/7/24,3.389,5.8,1.757857918,-0.003442344,
2006/7/25,3.49,5.96,1.785070481,0.027212564,
2006/7/26,3.451,5.92,1.778336449,-0.006734032,
2006/7/27,3.38,5.75,1.749199855,-0.029136594,
2006/7/28,3.28,5.67,1.735189118,-0.014010737,
2006/7/31,3.12,5.47,1.699278616,-0.035910501,
2006/8/1,3.148,5.48,1.701105101,0.001826485,
2006/8/2,3.044,5.42,1.690095815,-0.011009286,
2006/8/3,2.72,5.28,1.663926098,-0.026169718,
2006/8/4,2.659,5.13,1.635105659,-0.028820439,
2006/8/7,2.749,5.07,1.623340818,-0.011764842,
2006/8/8,2.806,5.25,1.658228077,0.034887259,
2006/8/9,2.676,5.2,1.648658626,-0.009569451,
2006/8/10,2.746,5.32,1.671473303,0.022814678,
2006/8/11,2.978,5.57,1.717395054,0.045921751,
2006/8/14,2.981,5.49,1.702928256,-0.014466798,
2006/8/15,3.006,5.49,1.702928256,0,0.548452392
2006/8/16,2.874,5.53,1.710187816,0.00725956,0.54456938
2006/8/17,2.708,5.37,1.680827909,-0.029359907,0.505139909
2006/8/18,2.731,5.26,1.660131027,-0.020696882,0.507689735
2006/8/21,2.793,5.24,1.656321498,-0.003809528,0.50831111
2006/8/22,2.869,5.33,1.673351238,0.01702974,0.498580211
2006/8/23,2.934,5.44,1.693779061,0.020427823,0.499820039
2006/8/24,2.943,5.46,1.69744879,0.003669729,0.501749964
2006/8/25,2.969,5.55,1.713797928,0.016349138,0.496172176
2006/8/28,3.195,5.83,1.763017,0.049219073,0.497603618
2006/8/29,3.038,5.69,1.738710248,-0.024306752,0.496216053
2006/8/30,3.022,5.68,1.736951233,-0.001759015,0.488722054
2006/8/31,2.916,5.69,1.738710248,0.001759015,0.447261827
2006/9/1,2.872,5.54,1.711994501,-0.026715747,0.444699117
2006/9/4,3.421,5.75,1.749199855,0.037205354,0.417048508
2006/9/5,3.453,5.8,1.757857918,0.008658063,0.421508854
2006/9/6,3.485,5.88,1.771556762,0.013698844,0.420928402
2006/9/7,3.205,5.75,1.749199855,-0.022356907,0.411569673
2006/9/8,3.177,5.7,1.740466175,-0.00873368,0.413904474
2006/9/11,3.348,5.68,1.736951233,-0.003514942,0.39150718
2006/9/12,3.289,5.69,1.738710248,0.001759015,0.391297703
2006/9/13,3.166,5.6,1.722766598,-0.01594365,0.391164359
2006/9/14,3.19,5.46,1.69744879,-0.025317808,0.392336789
2006/9/15,3.217,5.58,1.719188776,0.021739987,0.395346484
2006/9/18,3.391,5.64,1.729884066,0.010695289,0.394856554
2006/9/19,3.3,5.69,1.738710248,0.008826183,0.383309697
2006/9/20,3.214,5.64,1.729884066,-0.008826183,0.383655785
2006/9/21,3.181,5.58,1.719188776,-0.010695289,0.383883123
2006/9/22,2.992,5.5,1.704748092,-0.014440684,0.375886575
2006/9/25,2.949,5.45,1.695615609,-0.009132484,0.374619573
2006/9/26,2.91,5.4,1.686398954,-0.009216655,0.368106307
2006/9/27,2.942,5.51,1.706564623,0.02016567,0.365691154
2006/9/28,2.999,5.62,1.726331664,0.019767041,0.363633048
2006/9/29,3.1,5.68,1.736951233,0.010619569,0.362038868
2006/10/9,3.217,5.92,1.778336449,0.041385216,0.36049989
2006/10/10,3.038,5.82,1.761300262,-0.017036187,0.3702722
2006/10/11,3.06,5.87,1.769854634,0.008554372,0.371673411
2006/10/12,3.079,5.74,1.74745921,-0.022395424,0.370595982
2006/10/13,3.05,5.71,1.742219024,-0.005240187,0.313104763
2006/10/16,2.969,5.61,1.72455072,-0.017668304,0.311698455
2006/10/17,2.942,5.57,1.717395054,-0.007155666,0.313524325
2006/10/18,3.047,5.69,1.738710248,0.021315194,0.312937582
2006/10/19,3.006,5.64,1.729884066,-0.008826183,0.315194724
2006/10/20,2.9,5.58,1.719188776,-0.010695289,0.315612201
2006/10/23,2.863,5.45,1.695615609,-0.023573168,0.309842676
2006/10/24,2.969,5.56,1.715598108,0.0199825,0.313109906
2006/10/25,2.894,5.55,1.713797928,-0.001800181,0.31082058
2006/10/26,3.001,5.66,1.733423892,0.019625964,0.310620485
2006/10/27,3.006,5.66,1.733423892,0,0.308044031
2006/10/30,3.247,5.87,1.769854634,0.036430742,0.306793589
2006/10/31,3.182,5.84,1.764730797,-0.005123837,0.306497942
2006/11/1,3.083,5.8,1.757857918,-0.006872879,0.306748825
2006/11/2,3.44,5.95,1.78339122,0.025533302,0.306207019
2006/11/3,3.302,5.98,1.788420568,0.005029348,0.304935686
2006/11/6,3.392,5.91,1.776645831,-0.011774737,0.298578147
2006/11/7,3.356,5.8,1.757857918,-0.018787914,0.298580046
2006/11/8,3.358,5.75,1.749199855,-0.008658063,0.294276386
2006/11/9,3.457,5.84,1.764730797,0.015530942,0.294142788
2006/11/10,3.275,5.7,1.740466175,-0.024264622,0.292398508
2006/11/13,3.188,5.62,1.726331664,-0.014134511,0.282773864
2006/11/14,3.225,5.65,1.731655545,0.005323881,0.282704817
2006/11/15,3.349,5.87,1.769854634,0.038199089,0.282872561
2006/11/16,3.195,5.72,1.743968805,-0.025885828,0.292336172
2006/11/17,3.296,5.8,1.757857918,0.013889112,0.290971275
2006/11/20,3.386,5.97,1.786746927,0.02888901,0.288706686
2006/11/21,3.349,5.98,1.788420568,0.001673641,0.293486712
2006/11/22,3.49,6.14,1.814824742,0.026404174,0.291953642
2006/11/23,3.447,6.08,1.805004696,-0.009820046,0.293704602
2006/11/24,3.455,6.31,1.842135677,0.037130981,0.294618133
2006/11/27,3.439,6.39,1.854734268,0.012598592,0.301527256
2006/11/28,3.328,6.28,1.83736998,-0.017364288,0.287055309
2006/11/29,3.404,6.27,1.835776355,-0.001593626,0.284877937
2006/11/30,3.505,6.48,1.86872051,0.032944156,0.284870222
2006/12/1,3.553,6.51,1.873339456,0.004618946,0.291554773
2006/12/4,3.711,6.8,1.916922612,0.043583156,0.285702581
2006/12/5,3.951,7.08,1.957273908,0.040351296,0.289045086
2006/12/6,3.792,6.84,1.922787732,-0.034486176,0.298302533
2006/12/7,3.723,6.69,1.900613874,-0.022173857,0.306785509
2006/12/8,3.513,6.31,1.842135677,-0.058478198,0.306726343
2006/12/11,3.857,6.75,1.909542505,0.067406828,0.329080599
2006/12/12,3.796,6.7,1.902107526,-0.007434978,0.353726739
2006/12/13,3.97,6.79,1.915450942,0.013343415,0.35431241
2006/12/14,4.187,7.02,1.948763218,0.033312276,0.352898614
2006/12/15,4.212,7.08,1.957273908,0.00851069,0.353096093
2006/12/18,4.411,7.25,1.981001469,0.023727561,0.35143662
2006/12/19,4.291,7.18,1.971299383,-0.009702086,0.353379543
2006/12/20,5.013,7.8,2.054123734,0.082824351,0.354315538
2006/12/21,5.004,7.77,2.050270164,-0.003853569,0.386348474
2006/12/22,5.093,7.8,2.054123734,0.003853569,0.385445307
2006/12/25,5.233,7.94,2.071913275,0.017789542,0.383358128
2006/12/26,5.264,7.99,2.07819076,0.006277485,0.382875015
2006/12/27,5.301,7.9,2.066862759,-0.011328,0.381598906
2006/12/28,5.57,8.04,2.084429083,0.017566324,0.382208678
2006/12/29,6.272,8.82,2.17702187,0.092592787,0.381916525
2007/1/4,6.285,9.13,2.211565695,0.034543825,0.418737309
2007/1/5,6.246,9.19,2.218115936,0.006550242,0.416727007
2007/1/8,6.52,9.58,2.259677592,0.041561656,0.413850894
2007/1/9,6.782,9.89,2.291524146,0.031846554,0.419292587
2007/1/10,6.952,10.32,2.33408376,0.042559614,0.417274718
2007/1/11,6.6,10,2.302585093,-0.031498667,0.421466276
2007/1/12,6.51,10.05,2.307572635,0.004987542,0.425948923
2007/1/15,7.773,11.06,2.403334996,0.095762362,0.424713374
2007/1/16,8.434,12,2.48490665,0.081571654,0.457184924
2007/1/17,7.482,11.16,2.412335957,-0.072570693,0.476200221
2007/1/18,7.828,11.38,2.431857429,0.019521472,0.503337715
2007/1/19,8.124,11.49,2.441477092,0.009619663,0.498541703
2007/1/22,9.031,12.3,2.509599262,0.068122171,0.498324086
2007/1/23,8.88,11.99,2.484072969,-0.025526293,0.509689273
2007/1/24,9.071,12.2,2.501435952,0.017362983,0.515270663
2007/1/25,8.646,11.66,2.456164181,-0.045271771,0.514734737
2007/1/26,8.635,11.57,2.448415541,-0.00774864,0.525131065
2007/1/29,9.249,12.19,2.500615943,0.052200402,0.525487885
2007/1/30,8.765,11.75,2.463853241,-0.036762703,0.530311659
2007/1/31,8.027,10.85,2.38416508,-0.079688161,0.538460185
2007/2/1,8.016,10.61,2.361796953,-0.022368127,0.567844
2007/2/2,7.776,10.58,2.358965426,-0.002831526,0.569848701
2007/2/5,7.55,10.23,2.32532458,-0.033640846,0.567526013
2007/2/6,7.917,10.62,2.362739016,0.037414436,0.572951531
2007/2/7,8.25,11.05,2.402430428,0.039691412,0.575495468
2007/2/8,8.56,11.56,2.447550863,0.045120435,0.574255509
2007/2/9,8.388,11.33,2.427454075,-0.020096788,0.575890298
2007/2/12,9.09,12.11,2.494031558,0.066577483,0.579269558
2007/2/13,9.144,12.17,2.498973907,0.004942349,0.587162961
2007/2/14,10.669,13.39,2.59450816,0.095534253,0.582355315
2007/2/15,11.18,14.48,2.672768387,0.078260227,0.605152759
2007/2/16,11.049,14.13,2.648300197,-0.02446819,0.617818896
2007/2/26,11.742,14.84,2.697326238,0.049026041,0.622194897
2007/2/27,9.892,13.36,2.592265168,-0.10506107,0.625559151
2007/2/28,10.863,13.87,2.629728234,0.037463066,0.667601544
2007/3/1,10.084,13,2.564949357,-0.064778877,0.66764964
2007/3/2,10.397,13.22,2.581730834,0.016781477,0.685297594
2007/3/5,10.369,13.13,2.574899688,-0.006831146,0.682819168
2007/3/6,10.759,13.47,2.60046499,0.025565302,0.683327522
2007/3/7,11.36,14.19,2.652537491,0.052072501,0.682592943
2007/3/8,11.549,14.39,2.666533521,0.01399603,0.686959966
2007/3/9,11.268,14,2.63905733,-0.027476191,0.684189391
2007/3/12,11.095,13.81,2.625392967,-0.013664362,0.686363245
2007/3/13,11.272,13.97,2.636912173,0.011519206,0.68202821
2007/3/14,10.596,13.44,2.598235335,-0.038676838,0.678597418
2007/3/15,10.746,13.56,2.607124283,0.008888947,0.671438119
2007/3/16,10.208,13.16,2.577181926,-0.029942357,0.662300212
2007/3/19,10.479,13.4,2.595254707,0.018072781,0.666382993
2007/3/20,10.595,13.58,2.608598122,0.013343415,0.666508385
2007/3/21,10.696,13.82,2.626116818,0.017518696,0.665049011
2007/3/22,10.531,13.73,2.61958322,-0.006533599,0.665154239
2007/3/23,10.274,13.61,2.610804817,-0.008778403,0.665572338
2007/3/26,10.589,13.88,2.630448955,0.019644138,0.66546191
2007/3/27,10.896,14.39,2.666533521,0.036084566,0.649665088
2007/3/28,10.929,14.56,2.678278043,0.011744522,0.651182303
2007/3/29,11.127,14.83,2.696652156,0.018374113,0.651059282
2007/3/30,11.597,15.59,2.746629683,0.049977527,0.651086844
2007/4/2,12.241,16.14,2.781300663,0.03467098,0.655728605
2007/4/3,12.168,16.07,2.77695418,-0.004346483,0.655769996
2007/4/4,12.118,16.1,2.778819272,0.001865092,0.656453288
2007/4/5,12.312,16.32,2.79239135,0.013572078,0.635987314
2007/4/6,12.724,16.99,2.832624936,0.040233586,0.634111197
2007/4/9,14.134,18,2.890371758,0.057746822,0.636958525
2007/4/10,13.851,17.77,2.877511642,-0.012860116,0.640938274
2007/4/11,14.566,18.22,2.902519892,0.02500825,0.64111843
2007/4/12,14.571,18.01,2.890927159,-0.011592733,0.638466906
2007/4/13,14.293,17.51,2.862772146,-0.028155013,0.634565816
2007/4/16,14.614,17.78,2.87807423,0.015302084,0.638961462
2007/4/17,15.559,18.78,2.932792474,0.054718244,0.614858729
2007/4/18,16.149,19.44,2.967332799,0.034540325,0.604204908
2007/4/19,14.54,18.05,2.893145685,-0.074187114,0.584472725
2007/4/20,15.973,19.39,2.964757469,0.071611784,0.606999096
2007/4/23,18.386,21.33,3.060114532,0.095357063,0.620098144
2007/4/24,17.964,21.84,3.083743151,0.023628618,0.632756998
2007/4/26,19.048,22.95,3.133317937,0.049574786,0.629475296
2007/4/27,21.431,25.25,3.228826156,0.095508219,0.63420753
2007/4/30,23.442,27.78,3.324316337,0.095490182,0.646007915
2007/5/8,23.822,28.92,3.364533397,0.04021706,0.664991114
2007/5/9,22.338,27.38,3.30981282,-0.054720577,0.662701459
2007/5/10,21.836,26.28,3.268808194,-0.041004626,0.669172366
2007/5/11,22.091,26.49,3.276767303,0.00795911,0.651654284
2007/5/14,21.988,26.44,3.274878015,-0.001889288,0.647508205
